val,val_noexp,res_vac,target
1550,8,4.8,0
1525,8,4.8,0
1377,7,8.9,1
1384,7,8.9,1
1091,7,10.9,1
1277,8,9.5,1
1165,8,6.1,0
1128,7,10.0,1
1439,6,8.7,1
1333,7,9.1,1
1088,8,6.6,0
1622,5,7.9,1
1361,7,8.9,1
1390,7,5.3,0
1001,8,11.5,1
1220,7,5.9,0
1776,9,4.3,0
1366,7,5.0,0
1462,8,5.1,0
1117,6,10.0,1
1687,9,4.5,0
1269,7,5.8,0
1547,8,4.8,0
1512,5,8.4,1
964,8,12.0,1
1288,7,5.6,0
1466,8,5.0,0
1093,9,10.4,1
1197,7,6.0,0
1372,8,5.1,0
1121,7,10.0,1
963,8,12.0,1
1120,9,10.2,1
1309,7,5.0,0
1081,7,10.0,1
1113,8,6.4,0
1086,8,6.6,0
1337,8,5.3,0
1069,7,11.0,1
1002,7,11.6,1
1375,7,5.3,0
1039,9,11.1,1
968,8,12.0,1
1104,7,10.0,1
1535,5,8.3,1
1542,8,4.8,0
967,8,12.0,1
1764,8,4.2,0
1226,7,5.9,0
1065,6,10.0,1
1093,8,10.0,1
1374,8,8.9,1
1368,7,5.4,0
1125,8,10.1,1
1445,5,8.7,1
1112,9,10.3,1
1121,8,6.3,0
1780,8,4.2,0
1176,8,6.0,0
1112,8,6.4,0
1259,8,5.6,0
1341,7,9.1,1
1265,8,5.6,0
1541,8,4.8,0
1197,7,10.0,1
1774,9,4.3,0
1732,9,4.4,0
1088,9,10.5,1
1371,7,5.3,0
1380,6,9.0,1
1383,7,5.0,0
1397,5,9.0,1
1456,8,5.1,0
1610,5,7.9,1
1087,7,10.9,1
1493,8,4.9,0
1331,6,5.0,0
1075,8,6.6,0
1210,7,9.9,1
1298,6,5.0,0
1364,7,5.0,0
1105,8,10.0,1
1655,8,4.5,0
1404,7,8.7,1
1458,7,5.1,0
1537,5,8.3,1
1251,7,9.6,1
1363,8,9.0,1
1785,8,4.2,0
1388,7,8.8,1
1325,8,5.3,0
1369,6,5.0,0
1418,6,8.8,1
1750,8,4.3,0
1529,9,4.9,0
1299,7,5.6,0
1495,8,4.9,0
1488,5,8.5,1
1253,8,5.7,0
1764,9,4.3,0
1122,8,10.0,1
1321,7,5.0,0
1116,7,10.7,1
1482,5,8.6,1
1124,7,10.5,1
1145,8,10.0,1
1104,9,10.3,1
1436,7,5.1,0
1006,8,11.6,1
1464,5,8.6,1
1589,5,8.0,1
1364,6,5.0,0
1080,7,6.7,0
1310,6,5.0,0
1803,8,4.2,0
972,8,11.9,1
1605,5,7.9,1
1448,7,8.6,1
1079,7,10.0,1
1614,5,7.9,1
1458,5,8.6,1
1461,5,8.6,1
1195,7,10.0,1
1068,8,6.7,0
1222,8,5.8,0
1324,8,5.3,0
1067,8,6.7,0
1117,8,10.2,1
1507,8,4.9,0
1552,5,8.1,1
1198,6,10.0,1
1488,8,5.0,0
1329,7,5.0,0
1483,5,8.5,1
1328,7,5.0,0
1357,7,9.0,1
1051,8,10.9,1
1396,7,5.3,0
1115,7,10.0,1
1431,6,8.8,1
1366,8,8.9,1
973,7,12.0,1
1018,7,11.5,1
1529,5,8.2,1
1073,8,6.6,0
1434,6,8.7,1
1343,7,9.2,1
1484,5,8.5,1
1183,7,6.1,0
1091,8,6.6,0
1300,8,5.4,0
1007,8,11.6,1
1681,5,7.6,1
1124,9,10.2,1
1123,7,10.0,1
1781,9,4.2,0
1536,5,8.2,1
1348,7,5.0,0
1095,7,10.0,1
966,8,12.0,1
1643,5,7.8,1
1332,7,5.5,0
1109,7,10.7,1
991,8,11.7,1
1362,8,5.2,0
1524,5,8.3,1
1768,9,4.3,0
1061,9,10.8,1
1152,7,10.3,1
1170,7,6.2,0
1677,8,4.4,0
1217,7,9.9,1
1357,7,9.1,1
1697,8,4.4,0
1118,8,10.0,1
1529,8,4.8,0
1354,7,5.0,0
1034,7,7.0,0
1282,7,5.7,0
992,8,11.7,1
1330,8,5.3,0
1330,6,5.0,0
1384,7,5.0,0
1761,8,4.2,0
1329,8,5.3,0
1174,7,10.2,1
1255,7,5.8,0
1749,9,4.3,0
990,8,11.8,1
1374,7,8.8,1
1420,6,8.7,1
1202,7,6.0,0
1622,8,4.6,0
1781,8,4.2,0
1526,8,4.8,0
1134,8,6.3,0
1063,9,10.8,1
1543,8,4.8,0
1336,7,9.0,1
1321,6,5.0,0
982,8,11.7,1
1721,7,4.4,0
1776,8,4.3,0
1417,6,8.8,1
1108,7,10.0,1
1103,8,10.0,1
1130,7,10.5,1
1733,9,4.4,0
1541,5,8.2,1
1723,8,4.4,0
1384,8,8.8,1
1025,8,11.2,1
1512,8,4.9,0
1089,7,10.0,1
1016,8,11.3,1
1302,7,9.3,1
1469,7,5.0,0
1654,8,4.5,0
1391,8,5.0,0
1651,8,4.5,0
1144,7,6.3,0
1001,7,11.5,1
1358,8,5.0,0
1544,8,4.8,0
1601,5,7.9,1
1297,6,5.0,0
1053,8,6.8,0
1444,7,8.6,1
1756,8,4.3,0
1480,8,5.0,0
1123,8,6.3,0
1124,8,10.0,1
1451,6,8.6,1
1350,7,5.0,0
1767,8,4.2,0
1373,8,8.9,1
1766,8,4.2,0
1085,7,10.0,1
1637,5,7.8,1
1665,5,7.7,1
1129,9,10.1,1
1061,8,6.7,0
1724,8,4.3,0
1298,7,5.6,0
1779,8,4.2,0
1351,8,5.0,0
1406,6,8.8,1
1061,7,11.1,1
1382,6,5.3,0
